L,m,angle,time_Sab,time_Flo,time_avg,period
65.5,77,5,8.06,8.10,8.08,1.616
65.5,77,10,8.24,8.23,8.235,1.647
65.5,77,20,8.19,8.23,8.21,1.642
33,77,5,5.83,5.26,5.545,1.109
33,77,10,5.88,6.00,5.94,1.188
33,77,20,5.69,5.34,5.515,1.103
120,77,5,11.04,11.21,11.125,2.225
120,77,10,11.04,11.01,11.025,2.205
120,77,20,11.21,11.01,11.11,2.222
65.5,220,5,8.04,8.08,8.06,1.612
65.5,220,10,8.11,8.15,8.13,1.626
65.5,220,20,8.09,7.96,8.025,1.605
33,220,5,5.84,6.00,5.92,1.184
33,220,10,5.83,5.87,5.85,1.17
33,220,20,5.84,5.81,5.825,1.165
120,220,5,11.08,11.23,11.155,2.231
120,220,10,11.16,10.58,10.87,2.174
120,220,20,11.14,11.04,11.09,2.218
65.5,139,5,8.38,8.37,8.375,1.675
65.5,139,10,8.28,8.00,8.14,1.628
65.5,139,20,8.16,8.22,8.19,1.638
33,139,5,5.89,5.80,5.845,1.169
33,139,10,5.94,5.89,5.915,1.183
33,139,20,5.89,5.81,5.85,1.17
120,139,5,10.86,11.14,11,2.2
120,139,10,10.99,11.15,11.07,2.214
120,139,20,11.32,11.32,11.32,2.264
